"id","user_id","post_id","reaction"
1,21,1,"like"
2,21,1,"like"
3,21,1,"like"
4,21,1,"like"
5,21,1,"dislike"
6,21,1,"like"
7,21,1,"dislike"
8,21,1,"like"
9,21,1,"dislike"
10,21,1,"like"
11,21,1,"dislike"
12,21,1,"like"
13,21,1,"dislike"
14,21,1,"like"
15,21,1,"dislike"
16,21,1,"like"
17,21,1,"dislike"
18,21,1,"like"
19,21,1,"dislike"
20,21,1,"like"
21,21,1,"dislike"
22,21,1,"like"
23,21,1,"dislike"
24,21,1,"like"
25,21,1,"dislike"
26,21,1,"like"
27,21,1,"dislike"
28,21,1,"like"
29,21,1,"dislike"
30,21,1,"like"
31,21,1,"dislike"
32,21,1,"like"
33,21,1,"dislike"
34,21,1,"like"
35,21,1,"dislike"
36,21,1,"like"
37,21,1,"dislike"
38,21,1,"like"
39,21,1,"dislike"
40,21,1,"like"
41,21,1,"dislike"
42,21,1,"like"
43,21,1,"dislike"
44,21,1,"like"
45,21,1,"dislike"
46,21,1,"like"
47,21,1,"dislike"
48,21,1,"like"
49,21,1,"dislike"
50,21,1,"like"
51,21,1,"dislike"
52,21,1,"like"
53,21,1,"dislike"
54,21,1,"like"
55,21,1,"dislike"
56,21,1,"like"
57,0,1,"like"
58,0,1,"like"
59,0,1,"like"
60,0,1,"like"
61,0,1,"like"
62,21,1,"like"
63,21,1,"like"
64,0,1,"like"
65,21,1,"like"
66,21,1,"dislike"
67,21,1,"like"
68,21,1,"dislike"
69,21,1,"like"
